Agency URL,Decision,Keywords Found
https://www.wearecollins.com/,Rejected,
https://www.digitalsilk.com/,Approved,"services, web design, web development, digital marketing, marketing agency, branding"
https://www.digitalsilk.com/,Approved,"services, web design, web development, digital marketing, marketing agency, branding"
https://www.baunfire.com/,Rejected,
https://fourbynorth.com/,Rejected,
https://fourbynorth.com,Rejected,
https://fourbynorth.com/,Rejected,AI-based analysis
https://fourbynorth.com/,Approved,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.digitalsilk.com,Rejected,AI-based analysis
https://fourbynorth.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://fourbynorth.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://fourbynorth.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Rejected,AI-based analysis
https://www.baunfire.com/,Approved,agency
https://fourbynorth.com/,Rejected,
https://www.digitalsilk.com/,Approved,"services, web design, web development, digital marketing agency, agency"
https://www.digitalsilk.com/,Approved,"services, web design, web development, digital marketing agency, agency"
https://fourbynorth.com/,Approved,services
https://www.baunfire.com/,Approved,"services, web design, agency"
https://fourbynorth.com/,Approved,services
https://www.wikipedia.org/,Approved,
https://www.baunfire.com/,Approved,"services, web design, agency"
https://www.wikipedia.org/,Approved,
https://www.baunfire.com/,Approved,"services, web design, agency"
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.baunfire.com/,Approved,agency
https://fourbynorth.com/,Rejected,AI-based analysis
https://fourbynorth.com,Rejected,AI-based analysis
https://fourbynorth.com/,Rejected,AI-based analysis
https://fourbynorth.com,Rejected,AI-based analysis
https://www.baunfire.com/,Approved,"services, web design, agency"
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://fourbynorth.com/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Rejected,AI-based analysis
https://www.wikipedia.org/,Rejected,AI-based analysis
https://www.fantasy.co/,Approved,AI-based analysis
https://www.digitalsilk.com/,Approved,"services, web design, web development, digital marketing agency, agency"
https://fourbynorth.com/,Approved,AI-based analysis
https://www.baunfire.com/,Approved,"services, web design, agency"
https://www.amazon.in/,Rejected,AI-based analysis
https://developer.tomtom.com/,Rejected,AI-based analysis
